ADCSIR,ADVANTAGE CSIR ,              ,       ,
ANGUN ,ANGLO UNION    ,00001251862.82,004.874,
ARCPEN,ARCPEN         ,00115043478.09,008.606,000.07
ARCPRV,ARCPRV         ,00185478537.43,008.651,000.18
ARGPRV,ARGUS PROVIDENT,00001684472.42,004.282,
ARGUS ,ARGUS PENSION  ,00001949381.78,004.300,
AVBOBC,AVBOB CORPORATE,00337173289.56,006.139,000.39
AVBOBP,AVBOB POLICYHLD,00182662977.04,006.092,000.18
B0005I,SB SWAZI PF    ,00014473480.73,006.768,
BJMBS ,BJM MM BOND    ,00150818784.61,007.373,000.13
CJRFFI,CONS RET FUND  ,00777311247.52,006.530,000.94
CLBBC ,LA BONDS C     ,              ,       ,
CLBBK ,LA BONDS K     ,              ,       ,
CLBBR ,LA BONDS R     ,              ,       ,
CLBBT ,LA BONDS T     ,              ,       ,
CLBBU ,LA BONDS U     ,              ,       ,
COJBND,CITY JHBPF -BND,              ,       ,
DBRBND,DE BEER ACT BND,              ,       ,
DISTEL,DISTEL RETIREM ,00233170066.57,007.382,000.21
ENGBND,ENGINEERING IND,              ,       ,
ENGEN ,ENGEN PENS FND ,              ,       ,
EXXPEN,EXXPEN         ,00053718980.73,008.795,000.02
EXXPRV,EXXPRV         ,00082280434.85,008.909,000.05
FAWUPR,FOOD SEC RET   ,00000361497.32,003.597,
FORLFE,INV SOL LIB BAL,00001869431.66,004.875,
G0002I,GYPSUM PROV FND,              ,       ,
G0003I,GYPSUM P/F     ,              ,       ,
GRIPEN,GRINTEK PENSION,              ,       ,
GRIPRO,GRINTEK PROVIDE,              ,       ,
HDBPF ,HULAMIN PF     ,              ,       ,
IMPEN1,IMP GRP PENSION,00063384372.31,007.392,000.03
IMPEN2,IMP GRP PEN    ,00093853190.20,012.654,000.11
IMPPR2,IMP GRP PRO2   ,00170542226.50,012.653,000.20
IMPPRO,IMP GRP PROV   ,00107911326.99,007.389,000.09
ISLBAS,INV SOL BOND AC,              ,       ,
JDGPF ,JD GROUP DEFINE,              ,       ,
JHBPE ,CITY OF JHB PF ,00069762094.24,006.509,000.07
JMPFB ,JMPF STANLIB BD,              ,       ,
KIOPEN,KUMBA I/ORE PE ,              ,       ,
KIOPRV,KUMBA I/ORE PR ,              ,       ,
KOORTR,KOORNFONTEIN   ,              ,       ,
KUMPEN,EXXARO PEN FUND,              ,       ,
KUMPRO,EXXARO PROV FND,              ,       ,
KUPEN ,KUPEN          ,00034005127.53,009.351,
KUPRV ,KUPRV          ,00047061126.90,009.330,000.02
LESINC,LESOTHO INCOME ,00682325051.69,001.717,000.77
LESPOD,PUBLIC OFFICERS,00008293802.75,004.308,000.01
LIBMDS,LIBERTY MED SCH,00010371654.38,002.050,000.01
LIBPEN,LIBERTY PENSION,00003391423.26,005.058,
LIBPN1,LIB PEN 1      ,              ,       ,
LLABSK,LL ABS RETURN K,00027624807.18,004.615,000.02
LLABSR,LL ABS RETURN R,00659945323.35,004.789,000.78
LLABST,LL ABS RETURN T,00394478728.21,004.516,000.47
LLABSU,LL ABS RETURN U,00278544052.85,004.619,000.33
LLALBU,LIB ALL BND IND,              ,       ,
LLFBLR,FLEXIFUND BAL R,              ,       ,
LLFCNR,FLEXIFND CONS R,              ,       ,
LLFHGR,FLEXIFND HIGH R,              ,       ,
LLIFK ,INCOME FUND K  ,00015832686.82,002.099,
LLIFR ,INCOME FUND R  ,00321819740.94,002.076,000.37
LLIFT ,INCOME FUND T  ,00374647294.93,002.161,000.42
LLIFU ,INCOME FUND U  ,00611012769.29,002.056,000.73
LLINDC,LIB BONDS C    ,03956991950.10,007.010,004.78
LLINDK,LIB BONDS K    ,00211758436.09,007.405,000.19
LLINDR,LIB BONDS R    ,08246797562.74,007.430,009.92
LLINDT,LIB BONDS T    ,02795213488.69,007.387,003.37
LLINDU,LIB BONDS U    ,01721766371.98,007.636,002.05
LLINDV,LIB BONDS V    ,00394105787.78,007.402,000.43
LLLAMU,LINKED ANN MV U,00963181803.05,005.173,001.14
LLLIPR,LEATHER IND R  ,              ,       ,
LLPBSK,LL PART BASIC K,00011572149.06,011.164,000.01
LLPBSR,LL PART BASIC R,00144447206.96,009.796,000.16
LLPBST,LL PART BASIC T,00547521783.81,010.149,000.66
LLPPSK,LIB PROP SHARES,00009885742.00,002.465,000.01
LLPPSR,LIB PROP SHARES,00222934298.64,002.465,000.27
LLPPST,LIB PROP SHARES,00384357702.72,002.465,000.46
LLPPSU,LIB PROP SHARES,00070675666.33,002.465,000.08
LLPRFR,PROV RING FND R,              ,       ,
LLPROR,PROVIDER FND R ,              ,       ,
LUIARF,LUIARF         ,00848517304.72,001.998,001.02
LUINC ,STANLIB INCOME ,24527150272.38,001.905,029.51
METANK,SBSA ITF ANKHA ,              ,       ,
METBND,METAL INDUSTRY ,              ,       ,
MINEWR,MINEWORKERS PRV,00499210239.81,007.493,000.49
MINPEN,MINES 1970 PF  ,00117784749.05,007.377,000.09
MINPRO,MINES 1970 PROV,00099486691.36,007.367,000.07
MITPEN,MITTAL PENSION ,              ,       ,
MITPRO,MITTAL PROVIDEN,              ,       ,
MWATER,MAGALIES WATER ,00034131758.15,002.354,000.04
N0011I,NKANGALA DISTRI,00128903433.78,000.454,000.16
N0017I,STD NAMIBIA U/T,00021107052.32,002.851,000.02
N0083I,NBS P/F        ,              ,       ,
N0372I,NESTLE         ,              ,       ,
NASPER,MEDIA24 RETIRE ,              ,       ,
NEFG  ,NEFG           ,00088018640.81,001.248,000.12
NEWTYR,NEW TYRE MANUF ,              ,       ,
NJMPR ,KWAZ JT MUN PRV,00096683606.97,007.062,000.10
NJMRE ,NATAL JOINT MR ,00108592067.35,007.049,000.11
NJMSU ,NAT JNT SUPERAN,00370983346.43,007.047,000.42
OPMRTR,OPTIMUM MINE   ,              ,       ,
P0012I,POLITICAL OFFIC,              ,       ,
POLMED,POLMED STANLIB ,00848947634.61,002.572,001.02
PPWAWU,PPWAWU NAT PRO ,00127500065.97,007.351,000.09
PRASA ,PRASA PROV     ,00278485873.47,007.372,000.24
PREDIP,DIE CHRISTEN PF,              ,       ,
PRI197,PIPF R197      ,00091155819.82,016.258,000.11
PRI202,PIPF R202      ,00367819684.57,013.661,000.44
PRMCOL,PRIME COLL INV ,              ,       ,
RMALAC,RMA LIFE       ,00000000027.35,002.480,
S0011I,SB SWAZI MANAGE,00469432962.66,002.413,000.55
S0023I,SB GRP RET FUND,00787257824.04,007.346,000.85
S0046I,SUGAR INDUSTRY ,00001933864.53,005.589,
S0124I,STD NAMIBIA RF ,00017238534.40,001.313,000.02
S0164I,STANLIB EXTRA I,08139574531.39,001.751,009.78
S01ARF,S01ARF         ,00124503295.10,002.442,000.15
S2003I,SL MULTINATION ,              ,       ,
S2575I,75 SWAZI COPEN ,00102370583.50,006.939,000.10
S2580I,80 SWAZI UNITL ,00112583149.43,006.921,000.12
S2585I,85 SWAZI CONVT ,00067344814.71,006.901,000.04
S75IRF,SWAZI (S751RF) ,00222971917.97,007.975,000.29
SALAPF,SALA PEN FUND  ,00351687917.62,007.369,000.32
SAPBON,SAPPI BOND     ,              ,       ,
SAT197,SATU R197      ,00015147549.20,016.258,000.02
SAT202,SATU R202      ,00029432520.63,012.655,000.03
SBGESP,EMP SURPLUS PTF,00035242797.47,006.657,000.03
SBGPRV,STD GROUP PROV ,00100800926.02,006.833,000.10
SBNINC,SB NAM INCOME  ,00812513075.21,001.921,000.98
SBSWAZ,SB SWAZI LTD   ,00035839879.96,006.792,000.01
SBWAZ2,STD SWAZI LTD2 ,00008456715.90,006.830,
SLAARF,SLAARF         ,00092026201.19,002.630,000.11
SLAINF,ST AGGR INC FND,01005346764.06,007.313,001.20
SLBALC,BAL CAUTIOUS   ,02081396196.38,006.517,002.47
SLCARF,SLCARF         ,00062387951.65,002.519,000.08
SLCASH,SL ENHANCED YLD,03631454609.89,000.908,004.34
SLIPRO,LEATHER IND PRO,00003298944.06,005.651,
SLMSP5,STANLIB MM PROP,00263000813.88,001.552,000.33
SLWTH4,STANLIB EQUITY ,00004615654.96,002.480,000.01
SM5ARF,STANLIB MM PROP,00020820670.57,003.079,000.02
SMBARF,SMBARF         ,00024025353.52,003.592,000.02
SMBOND,SL BOND FUND   ,03190718762.39,007.392,003.76
SMCAFR,SMCAFR         ,              ,       ,
SMCARF,SMCARF         ,00064543843.50,003.667,000.07
SMCORB,SL CORP BONF FD,02311687236.89,007.416,002.72
SMPROS,SA EQUITY FUND ,00000092546.54,002.480,
SMSTAB,BALANCED FUND  ,00895239294.79,006.776,001.07
STBTFF,STAN BAL TR FOF,00001029968.14,002.545,
STDCF ,STAN DIV COL FD,              ,       ,
STDIF ,STAN DIV INC FD,              ,       ,
STDINN,STD INS LTD NEW,              ,       ,
STDINO,STD INS LTD OLD,              ,       ,
STFARF,STFARF         ,00088700151.78,002.605,000.11
STFIF ,STAN FLEX IN FD,01221800827.90,003.260,001.37
SWNPRO,SWAZI NAT PROV ,              ,       ,
SWNPRZ,SWAZI NAT PROV ,00044128385.72,006.841,000.04
SYGMED,SYGNIA3 MEDSCHE,00091961180.87,003.339,000.10
SYGNIA,SYGNIA LIFE LTD,              ,       ,
SYGNTR,SYGNIA2 PREF   ,00056580253.77,007.371,000.03
TBWPRV,TIGER BRANDS   ,              ,       ,
TELKOM,TELKOM RETIREMT,              ,       ,
THDBPF,TONGAAT HUL DEF,00013737256.00,002.480,000.02
THDIRF,THDBPF RING FEN,00524871743.85,002.824,000.63
TONHUL,TONGAAT HULET  ,              ,       ,
TOYPRO,TOYOTA SA PROV ,              ,       ,
TPRSBM,TSHWANE MPR BND,00001087598.91,003.598,
UNIBND,UNISA BOND FUND,00290750265.26,007.354,000.26
UNISWA,UNIV SWAZI PENS,00001351394.33,005.008,
UWRBND,UNIVERSITY WIT ,00314988047.92,016.258,000.38
WITS1 ,WITS 1         ,00001700003.76,005.124,
WITS2 ,WITS 2         ,00001811649.72,002.480,
WITS3 ,WITS 3         ,00003703640.85,004.498,
WITS5 ,WITS 5         ,00990728539.31,002.480,001.19
BOND GRP COM         ,,83183661554.42,004.353,097.90
